port,BC_2015,BC_2025
chn-shanghai,0.07519406982184593,0.07682994784187716
nld-rotterdammaasvlakte,0.07190777933393488,0.07806037485306777
bel-antwerp,0.055607058064775464,0.06313340094405837
mys-pengerang,0.04095067455063299,0.001914612679250172
nld-rotterdam,0.04020861469836691,0.02574329382348335
dnk-skagen,0.024199241781308754,0.03165745993009898
chn-guangzhou,0.02137194699803418,0.025869993695958257
chn-hongkong,0.021240802594733377,0.01591948406161796
sgp-singapore,0.0209570496472999,0.023689794282145113
gib-gibraltar,0.020828815306414613,0.0254189509145897
chn-ningbo,0.02038842080842048,0.027652352714444425
tur-istanbul,0.018875440551466924,0.01522084232327867
grc-piraeus,0.015368702979671642,0.019462058399506845
rus-saintpetersburg,0.015268354415398092,0.025619083356584055
ltu-klaipeda,0.014824775987664952,0.006590962896648132
mys-pasirgudang,0.014042323188258108,0.0013786345636343275
egy-portsaid,0.013357802305966998,0.008942494049757183
nld-ijmuiden,0.013186614768603286,0.014104158206504925
chn-caofeidian,0.012844925763837087,0.00801631337664949
jpn-yokohama,0.011533306725263344,0.008381429061601272
deu-neuharlingersiel,0.01094851578648669,0.0
jpn-kobe,0.010782761476380178,0.005562451363236514
bra-santos,0.010566293366777453,0.009937974885239854
rus-kavkaz,0.01043498016566167,0.004189124659171225
chn-shenzhen,0.010379301403391071,0.014852309513936617
twn-kaohsiung,0.009995853869209108,0.006289642125858672
kor-yeosu,0.00996747137226369,0.011103294005599548
mlt-marsaxlokk,0.009926977166950058,0.011135633266176207
deu-deu-133,0.00990339764723231,0.00010996658531482861
chn-qingdao,0.00987551467763951,0.0058841608525566575
usa-houston,0.009786042010776203,0.005549397746102075
esp-cueta,0.009676422476162544,0.007903405704993142
usa-usa-1455,0.009315691397815254,0.0011855878087456467
are-fujairah,0.009202744211620626,0.003706972677623494
pol-gdynia,0.009038968153459967,0.010414948516367928
nor-kristiansund,0.009028360874715145,0.010541144917569948
esp-laspalmas,0.008983773702480637,0.017339274124773867
can-thorold,0.008920553977570718,0.00014177884163130955
deu-bremerhaven,0.008911514364893468,0.00817648329350499
usa-porteverglades,0.008846859606577034,0.006148221466611524
idn-surabaya,0.008744187512576194,0.015899055879404576
nor-tromso,0.008724834464816512,0.006309411659475792
are-sharjah,0.00862865371882894,0.0015511430923640613
deu-deu-611,0.008542637598930907,0.011927401992345951
mys-telokramunia,0.008493539073104786,0.04277011591456728
lva-riga,0.0084204155033297,0.0049624433489648375
are-jebelali,0.008331674743855332,0.004481793189736293
bgd-chittagong,0.008282812727863407,0.0014374188389779728
kor-busan,0.008244286469096649,0.01469409228061625
aut-hofamtpriel,0.007960297335154862,0.0006249467563372629
egy-alexandria,0.00785088717315474,0.003936076849685599
can-vancouver,0.007789387892174033,0.011925800099178983
rou-rou-63,0.0076697449433060765,0.0
nld-amsterdam,0.007635418586952966,0.006212248826650186
pan-gatunlakeanchorage,0.007512818479700756,0.00551805624745137
chn-zhuhai,0.0074442455468757465,0.006452412533210501
pan-manzanillo,0.007386780050964744,0.00948467365057706
chn-lianyungang,0.007325858767441081,0.00746460503826923
tto-pointlisas,0.007207059914296716,0.003924021777313594
chn-rizhao,0.007119792578363021,0.0028336425972805513
srb-sremskikarlovci,0.007103456250574677,8.367185374811179e-07
esp-algeciras,0.007021078558321006,0.009712843968444879
gbr-erith,0.00692034908229454,0.0029729746745492435
deu-deu-98,0.0068670858250781145,2.9273342116423325e-07
jpn-yokkaichi,0.0068236016570216275,0.0034723573223280537
fra-lehavre,0.00681923039487317,0.00251501741196141
kor-ulsan,0.006111471389624028,0.0037185994857118388
chn-nantong,0.006110960842697994,0.001812384583337144
deu-kiel,0.006021778906141595,0.005246552479137456
