port,coreness_2015,coreness_2025
chn-tianjin,74,72
twn-taichung,74,72
kor-daesan,74,72
chn-chn-2338,74,72
chn-weihai,74,72
chn-weifang,74,72
chn-shenzhen,74,72
tha-kosichang,74,57
chn-shipu,74,52
esp-esp-284,74,69
tur-mersin,74,69
aus-adelaide,74,69
jpn-susaki,74,72
jpn-kanokawa,74,43
idn-tanjungbara,74,72
chn-ruian,74,46
usa-usa-1839,74,72
tha-bangkok,74,71
chn-chn-2296,74,63
pan-panamaanchoragepacific,74,72
chn-chongming,74,72
fra-donges,74,68
jpn-tomakomai,74,72
chn-nanri,74,38
jpn-hiroshima,74,72
zaf-capetown,74,69
chn-hongkong,74,72
bra-saofranciscodosul,74,69
jpn-muroran,74,72
chn-bayuquan,74,72
deu-bremerhaven,74,69
chn-shanghai,74,72
chn-tieshan,74,72
pan-manzanillo,74,69
chn-guangzhou,74,72
chn-caofeidian,74,72
esp-barcelona,74,69
chn-lushan,74,72
chn-lianjiang,74,70
aus-porthedland,74,72
egy-portsaid,74,69
esp-coruna,74,52
fra-lehavre,74,69
aus-darwin,74,61
chn-chn-2374,74,65
tto-pointlisas,74,64
jpn-nagasaki,74,68
ind-mumbai,74,69
ita-livorno,74,69
nld-vlissingen,74,69
esp-bilbao,74,69
jpn-yokohama,74,72
kor-ulsan,74,72
jpn-sendai,74,72
jpn-kokura,74,72
sen-dakar,74,69
bra-itaguai,74,69
fra-rouen,74,69
tur-rumelifeneri,74,69
are-fujairah,74,72
gha-tema,74,69
chn-pingtan,74,65
prt-oeiras,74,69
phl-subic,74,72
tur-nemrut,74,69
twn-kaohsiung,74,72
chn-shantou,74,72
bgd-chittagong,74,72
mys-bintulu,74,13
phl-davao,74,72
usa-houston,74,69
jpn-jpn-477,74,72
chn-rongcheng,74,46
ury-montevideo,74,69
chn-zhanjiang,74,72
idn-panjang,74,72
can-montreal,74,69
bra-viladoconde,74,69
twn-taipei,74,72
chn-zhenjiang,74,45
jpn-kikuma,74,67
chn-nansha,74,57
chn-qinhuangdao,74,72
jpn-niihama,74,72
gbr-immingham,74,69
jpn-ube,74,72
esp-cartagena,74,69
