port,PR_2015,PR_2025
chn-shanghai,0.004480617971782979,0.003839276378889037
bel-antwerp,0.00339034736588971,0.0031205769221394767
nld-rotterdammaasvlakte,0.003267320287532053,0.0030537736914037637
chn-ningbo,0.0026984109813735233,0.0027204745279625496
mys-pengerang,0.0025134300986731565,0.0005511347134373594
gib-gibraltar,0.0024219092434732774,0.002065963060365704
dnk-skagen,0.0023825284971301665,0.0020538232803940255
chn-hongkong,0.0023746028895888695,0.0020365992537581764
tur-istanbul,0.0023340399420942524,0.0016687258786452523
sgp-singapore,0.0021981283543879323,0.0015966768599195431
chn-guangzhou,0.002189809819506005,0.0022141756405990396
nld-rotterdam,0.0021584167355312264,0.002070330956958404
jpn-yokohama,0.0020719227361615275,0.0015503566207464405
chn-caofeidian,0.0018764432568785215,0.0014930378888141612
twn-kaohsiung,0.0017700662598743,0.0013726614230694352
kor-busan,0.00175296062049977,0.0014413931345740856
mys-pasirgudang,0.0017506626767431982,0.0004238920205904688
nld-ijmuiden,0.0017276935608663128,0.0014798811652792553
esp-algeciras,0.0016696697963740695,0.0014474940295748466
ltu-klaipeda,0.0016480672616778066,0.0011687784316857992
deu-bremerhaven,0.001645748159822675,0.0013097832756852625
kor-yeosu,0.001632436481774423,0.00169039829023975
chn-taizhou,0.0016274437168786419,0.0012059563040163613
esp-laspalmas,0.0016250269598065662,0.0016720065096200146
deu-cuxhaven,0.001608971922688798,0.000470321872548943
esp-cueta,0.0015798128287518088,0.001560867941551759
mlt-marsaxlokk,0.0015780557033000658,0.0016519242278178795
grc-piraeus,0.0015584621749123108,0.0015115282998791498
chn-qingdao,0.0015511257856733913,0.0014154388618517837
jpn-kobe,0.0015441811974028778,0.0011275316028566105
gbr-immingham,0.0015298779027430383,0.00138196091982906
pol-gdynia,0.0014960421256613725,0.001469420407984968
egy-portsaid,0.0014601211435977832,0.001163666224176825
kor-incheon,0.0014577758563303937,0.0009066309616412471
chn-xiamen,0.0014516505873451663,0.0012720292380774068
pan-manzanillo,0.0014437808900544555,0.001124591679228165
jpn-yokkaichi,0.0014408326425927901,0.0010946650173771768
chn-lianyungang,0.0014334275331570597,0.0014092388272832841
deu-strande,0.0014137922486582538,0.0011912102162553314
usa-houston,0.001413580956165182,0.001121347001981917
chn-shenzhen,0.0013998534851353195,0.001568458012154713
rus-saintpetersburg,0.0013867601805351104,0.0011505206583797283
usa-usa-1455,0.0013790859590790496,0.0005843331509400913
lva-riga,0.0013587364568801183,0.0010940713804559637
mys-telokramunia,0.0013545833435598647,0.0020984612348431426
gbr-erith,0.0013481855601539903,0.0009010885632568361
nor-mekjarvik,0.0013264248135820922,0.0010162122332160461
egy-alexandria,0.001285656541472088,0.0011142743748095137
deu-rostock,0.0012781717105914549,0.0009963924124783878
nor-haugesund,0.001277657780636226,0.0012521565412619918
bra-santos,0.001269871652001701,0.0011070524543778356
kor-busannewport,0.0012678276505053135,0.001179426351125937
chn-rizhao,0.00126727230528514,0.0012696103330894738
deu-otterndorf,0.0012494689066984276,0.001149164807547464
tur-yalovatown,0.0012492185395992846,0.0011696690978372614
swe-goteborg,0.0012313882049731775,0.001524768977332948
rus-kavkaz,0.0012301086238496284,0.0006733025238946528
usa-porteverglades,0.0012243989396205437,0.0008840223906228907
chn-nanjing,0.0012158656708262426,0.0006074236425360654
nld-amsterdam,0.00121205263882555,0.0007842146529566206
chn-dalian,0.0012115041942415937,0.0010671758211313355
chn-quanzhou,0.0011968130095350068,0.0010502651297600253
chn-tianjin,0.0011715555783161336,0.000810653204964278
kor-ulsan,0.0011678713944783458,0.0011133321161185782
deu-brake,0.0011635869879063447,0.0008173860714682675
chn-zhoushan,0.001159533919313565,0.0014776357620976106
tha-laemchabang,0.0011490108445889103,0.001072536087112766
deu-deu-611,0.0011431055905522603,0.0010309811390949795
rus-nakhodka,0.0011320686134642206,0.0006122217583467252
rou-constanta,0.001124429927414654,0.0007560719913630401
chn-zhanjiang,0.0011242071260307046,0.000890966176887154
dnk-aalborg,0.0011161836799590751,0.0006665489874193857
tur-iskenderun,0.0011083174789673583,0.001055031966228203
nld-nld-497,0.0011037871933994962,8.690085221986531e-05
chn-yantai,0.0011006817446148273,0.0009793277274173368
idn-surabaya,0.001096986208297341,0.001252705202421196
chn-ningde,0.0010951792527812158,0.0014545068728408928
chn-zhuhai,0.0010869785147787996,0.0012217611869470481
chn-maanshan,0.0010862798860273432,0.0004738279016429921
esp-bilbao,0.0010847309342322988,0.0008642729775741416
idn-jakarta,0.001083142368457809,0.0012639851272657104
chn-fangcheng,0.0010649860137760207,0.0011081173436934414
rus-kaliningrad,0.0010631353052757294,0.0004314500334868488
gbr-liverpool,0.001062655757099394,0.0010472120927732123
nor-tromso,0.0010597676497497062,0.0009075583474118745
mys-portklang,0.001059186408114751,0.001407511402367898
tur-canakkale,0.0010502774269071828,0.0014011376341601517
zaf-durban,0.0010478953915085143,0.0006759894090671478
chn-bayuquan,0.0010456999824056258,0.0008380010931328479
twn-taichung,0.0010416301878586594,0.0007538496574161381
chn-qinhuangdao,0.0010338113390365535,0.000743485432773184
mar-casablanca,0.0010284392578338896,0.0010740737645502613
chn-yangshan,0.0010212236297940987,0.001358056921055908
nor-langesund,0.0010199000075592124,0.0008927910510029064
ury-recaladaanchorage,0.0010091291369756425,0.0007483727527161961
nor-moirana,0.000997821052966866,0.0007504443684192652
chn-jingtang,0.0009959368487934001,0.0009809899951229416
fra-dunkirk,0.00099303571921907,0.0008879019650908948
fra-lehavre,0.0009926770430094885,0.0008433951443891842
jpn-ube,0.000979747251684868,0.0006661949921341193
kor-daesan,0.0009704268776221902,0.0006428105819652551
can-vancouver,0.0009702260668653813,0.0009474290944008316
chn-lanshan,0.0009657149003852472,0.0009636525098884074
tur-nemrut,0.0009635053510739254,0.0006198199746273614
jpn-oita,0.000956002698433287,0.000845126695610927
kor-pyeongtaek,0.0009474599247501389,0.0007288698583978055
jpn-fukuyama,0.0009464736655016521,0.0006715047447719867
kor-okpo,0.0009347910571209227,0.000443076058327239
deu-emden,0.0009339761019660711,0.0006067471306593109
nor-kristiansund,0.000930398998819483,0.0009596156507436776
chn-shantou,0.0009239642406863715,0.0006176721625187408
jpn-kashima,0.0009230207555536655,0.0006171792206103735
jpn-mizushima,0.0009127548755196827,0.0009134437180317041
jpn-higashiharima,0.0009080656062975532,0.0007003963906350295
jpn-kokura,0.0009073826508298049,0.0008922381629583714
lva-liepaja,0.0009049989323464968,0.0006487044859519478
kor-pohang,0.0008979375148557176,0.0006383375840737511
usa-newyork,0.0008948989119117578,0.0007462281902126227
nor-floro,0.0008912510445140631,0.0007214511423150394
are-jebelali,0.0008900918330015352,0.0008305438513099708
kor-gunsan,0.0008894888278663067,0.0009479225416041545
mex-veracruz,0.0008874031843552397,0.0005326118886621511
bra-paranagua,0.0008838211999053874,0.0007621757053060855
tto-pointlisas,0.0008810177762627594,0.0006677356981551215
deu-hamburg,0.0008798195824287304,0.0008378552980245453
chn-fuzhou,0.000873768250698692,0.0006716570616081466
ita-ravenna,0.0008650386143947449,0.0008716515206900405
jam-kingston,0.0008644708876951734,0.0006265043462130431
are-fujairah,0.0008621154513576519,0.0010152085183780788
fra-fos-sur-mer,0.0008587550150719218,0.0006739746630651534
jpn-sakai,0.0008578409909786787,0.0006313864670276277
bra-riogrande,0.0008576209633221161,0.0008126668896127922
aus-newcastle,0.0008510260982411192,0.0007252727198131756
tur-mersin,0.000850747163994213,0.0006564907850171521
chn-lammaisland,0.0008467090980635659,0.0006240511208987293
esp-santander,0.0008429113850388797,0.0006719505948894607
pan-panamaanchoragepacific,0.0008421949059264146,0.0007701087570412104
deu-deu-525,0.0008377013905117739,0.0005082091775260487
chn-songxia,0.000836264255157273,0.0006260957645449605
esp-barcelona,0.0008332954855783366,0.0008160947421673819
pol-portmorskipolice,0.0008324166662246295,0.000410737338323284
chn-wenzhou,0.0008321028646718619,0.0007702981496247801
ury-montevideo,0.0008320963455892551,0.0008328615351734915
nor-kopervik,0.0008317724483917029,0.0008103948387683411
chn-qinzhou,0.0008297390327406664,0.001073304815080291
rus-novorossiysk,0.0008296518278561766,0.000565508809378685
tur-tuzla,0.0008228193248806809,0.0006690142385327975
chn-zhangjiagang,0.0008216274426441582,0.00046517674028128406
jpn-hakata,0.000818739936455855,0.000610309732757077
esp-valencia,0.0008116185460405462,0.0007162891090444245
bgr-varna,0.0008111009990842417,0.0005710520463690776
prt-leixoes,0.0008054586016327361,0.0006567683616969011
jpn-mikawa,0.0008037675045377798,0.0006503657041152915
idn-muaraberauanchorage,0.0007967835657788362,0.0006390677803018845
esp-tarragona,0.0007946580742681339,0.0008155657269104593
ukr-mykolayiv,0.0007852936489646848,5.307349861309463e-05
chn-shidao,0.0007849413066755614,0.0008363719547875073
bra-riodejaneiro,0.0007848847280085299,0.0007830803312156211
gbr-bangor,0.0007834517318543531,0.0004847831079963397
usa-mobile,0.0007818565601815125,0.0007429568166828228
gbr-tees,0.0007792009210525121,0.0007047113790362744
gbr-felixstowe,0.000778414994958367,0.0007211456883331911
usa-hampton,0.0007775478038135306,0.0008102463777797172
vnm-hochiminh,0.0007736389115955626,0.001044052338612375
ita-venice,0.0007731940155748431,0.0006072317879113003
phl-manila,0.0007712522143026785,0.0005519024761647722
aus-gladstone,0.0007675578665071502,0.0006084185767659268
svk-gabcikovo,0.0007671210221795068,0.0007481448929093954
chn-huanghua,0.0007670893595522841,0.0008534364692879532
esp-gijon,0.0007663487119832573,0.0007135743002840194
nor-nor-535,0.0007659619255229648,0.0008762780167377798
pol-swinoujscie,0.0007657570235277153,0.000842421797942958
can-montreal,0.0007642916343517435,0.0007439119622629967
gbr-belfast,0.0007636378147039256,0.0006578775986189225
tur-darica,0.0007606138324115016,9.751077589238915e-05
prt-oeiras,0.0007605122946364633,0.0005895780142735096
gbr-gbr-400,0.0007574828851332878,2.3809653661418543e-05
chn-putian,0.0007571514016687369,0.00047778596474800235
chn-nantong,0.0007501977269119698,0.0004798929087804636
dnk-aarhus,0.0007483017874785521,0.0005033659159075322
esp-aviles,0.0007477936242713986,0.000574873890113964
gbr-falmouth,0.0007468043572257483,0.0002614608828277234
nld-delfzijl,0.0007458153244144785,0.0003270249744724781
nld-vlissingen,0.0007451106341665788,0.000805190704394264
ita-livorno,0.0007441844671925448,0.00064211900116436
deu-kiel,0.0007440090744546885,0.0005629759380208677
tur-gemlik,0.0007418168832467877,0.0005767761570356343
usa-jeffersonbeach,0.0007398913393516484,0.0007376780135010041
col-cartagena,0.0007376929015649869,0.0008813217053198729
ita-genoa,0.0007369866591798686,0.0007028280283586357
pol-pol-18,0.0007362178974334282,0.00015993830094031283
idn-taboneoanchorage,0.0007333920610570492,0.0008132401820510043
jpn-hiroshima,0.000733188566615403,0.0005343234143937021
chn-chn-2607,0.0007294439199927413,6.351903957274966e-05
chn-zhangzhou,0.0007252269672103869,0.0004680905867644078
nor-rekefjord,0.0007250783797777668,0.0006064988754548518
egy-damietta,0.0007240725545250139,0.0008351415888538312
esp-pasajes,0.0007192718667110451,0.000510724147956332
chn-longkou,0.0007173840610883678,0.0004933242113170439
prt-aveiro,0.0007171105820529898,0.0006261116699466689
tur-tur-245,0.0007147168814500178,9.330224705606279e-05
fra-lapallice,0.0007069078216373936,0.0006364561942654844
col-santamarta,0.000705603620029979,0.00037008205067999003
grc-volos,0.0007052083605534325,0.0005664589098939136
bra-vitoria,0.00070169739872286,0.0004954847370955283
deu-lubeck,0.0007004846275395025,0.000505075698803391
arg-buenosaires,0.0006985368972848685,0.0007322767370075562
bel-zeebrugge,0.0006948027360839198,0.0006285269819316846
pan-balboa,0.0006947650167500569,0.0006877348313950964
usa-longbeach,0.0006945888248159799,0.0007365838079910781
mys-tanjungpelepas,0.0006940610415460971,0.0008792546622943302
jpn-yokosuka,0.0006935888903852518,0.0007437239895900895
est-tallinn,0.000692646343403864,0.0005487170487665475
chn-chn-189,0.00068893861817415,0.0010695696222330782
prt-lisbon,0.0006884283503814004,0.00032635717051452453
guy-georgetown,0.000687234022798327,0.0005189677306225933
are-sharjah,0.0006822409266828451,0.0005833620897342035
col-barranquilla,0.0006814018526752692,0.00041731552149345245
rus-ustluga,0.0006810761798040693,0.00043661573503855737
prt-prt-46,0.0006808238529955935,0.00066619680012293
bgd-chittagong,0.0006741293864317065,0.0006036542875524633
svn-koper,0.0006686521151182274,0.0005980853377583023
chn-dongjiakou,0.0006672568729564263,0.000834666851858331
tur-izmir,0.0006672426160770668,0.0006182522866189695
esp-cartagena,0.0006669972672002277,0.0006095073050926518
nga-lagos,0.0006651113678419172,0.000427655345086516
nor-jelsa,0.0006646287956450029,0.0005217349900831379
lka-colombo,0.0006628229997232604,0.0006548324038424988
mar-jorflasfar,0.0006626446294082765,0.0007040078916067305
jpn-hachinohe,0.0006578310435059987,0.000503401644711825
dom-riohaina,0.0006540629314657238,0.00041404727102895694
sau-jeddah,0.0006520156942570302,0.0004503580904972998
bra-tubarao,0.0006519487409183851,0.0004699525103939542
ukr-chornomorsk,0.0006494549203702763,4.2679257872304e-05
chn-pingtan,0.0006490004152720268,0.0002926831394672324
bra-saoluis,0.0006479028996025675,0.0006334399735455178
jpn-marugame,0.0006464251958497164,0.0004020916260656842
grc-thessaloniki,0.0006450702532786778,0.0006180049425905227
rus-azov,0.000644690725633064,0.000503741451698282
vnm-vnm-16,0.0006438945423520752,0.0005673981414679569
esp-sevilla,0.00064338028967506,0.0005530728578980804
vnm-haiphong,0.0006429987857042602,0.00023226337384330413
chn-majishan,0.0006415392477391636,0.0006164119910432536
isr-haifa,0.000640982012836977,0.0006793381278303224
nor-bodo,0.0006406500979235862,0.0007144393724958287
chn-changqitou,0.0006375831891250347,0.0004800660631018841
zaf-richardsbay,0.0006368387271182584,0.00044457749197423
twn-keelung,0.0006349699791235767,0.0005325362947875697
aus-brisbane,0.0006339767022227097,0.0006017593168328142
rus-vanino,0.0006330859049807309,0.0004478138673273384
jpn-tomakomai,0.0006326525232036448,0.0004989077930193265
nor-sture,0.0006311055318932718,0.00047489303880383346
dnk-fredericia,0.000630682422064792,0.0005126312471497385
tur-aliaga,0.0006296331369878229,0.000999896516916718
dza-bejaia,0.0006277829001009788,0.0004443937002696934
fra-rouen,0.0006239969755005492,0.0005661978470154413
dza-oran,0.0006230639622312662,0.000524523708419875
tur-ambarli,0.0006210279265948998,0.0006155485408109843
rus-vladivostok,0.0006187390490123664,0.000643107195825652
bra-viladoconde,0.0006185159848881161,0.0007119205950783152
mar-tangermed,0.0006156641917891628,0.0006427549579046158
usa-norfolk,0.000611056657445758,0.00041389067483584973
rus-rus-403,0.000610962222268085,0.00023240295982228333
chn-jinzhou,0.0006067842265203384,0.0005536370421660511
nor-harstad,0.0006067745172939231,0.0004399273592995381
lbn-beirut,0.0006065606364040032,0.00043281446143815115
esp-sagunto,0.0006065353597147552,0.0004949230154233226
nor-godoya,0.0006062980103513436,0.0006442568055546347
jpn-tokuyamakudamatsuanchorage,0.0006058597438891251,0.0005176863275613646
chn-yangpu,0.0006050387397859992,0.0006395604619368878
nor-nor-371,0.0006043845762606476,0.00028334328301100854
ita-taranto,0.000603858781853796,0.00039511728713331274
usa-empire,0.000603786300013618,0.0
jpn-kinuura,0.000602594394667582,0.0005437185930919173
dnk-randers,0.0006015098375407026,0.0004330818534801047
usa-tampa,0.0006012757224294616,0.00048422456561059265
