port,s_in_2015,s_out_2015,total_2015,asym_2015,role_2015,s_in_2025,s_out_2025,total_2025,asym_2025,role_2025
chn-shanghai,65067.0,64839.0,129906.0,-0.0017551152371714932,balanced,66195.0,65980.0,132175.0,-0.0016266313599394742,balanced
chn-ningbo,32192.0,32176.0,64368.0,-0.00024857071836937607,balanced,35694.0,35679.0,71373.0,-0.00021016350720860828,balanced
jpn-yokohama,24358.0,24342.0,48700.0,-0.00032854209445585213,balanced,21031.0,21009.0,42040.0,-0.0005233111322549952,balanced
chn-hongkong,23938.0,23877.0,47815.0,-0.0012757502875666632,balanced,18939.0,18932.0,37871.0,-0.00018483800269335375,balanced
jpn-kobe,19780.0,19780.0,39560.0,0.0,balanced,23057.0,23056.0,46113.0,-2.168585865157331e-05,balanced
chn-caofeidian,16041.0,15927.0,31968.0,-0.003566066066066066,balanced,18088.0,18151.0,36239.0,0.0017384585667374927,balanced
mys-pengerang,14892.0,14509.0,29401.0,-0.013026767797013707,balanced,809.0,804.0,1613.0,-0.0030998140111593306,balanced
kor-busan,14520.0,14520.0,29040.0,0.0,balanced,12922.0,12933.0,25855.0,0.0004254496228969252,balanced
tur-istanbul,14300.0,14259.0,28559.0,-0.0014356244966560454,balanced,10964.0,10968.0,21932.0,0.0001823819077147547,balanced
chn-shenzhen,13632.0,13614.0,27246.0,-0.0006606474344857961,balanced,17429.0,17381.0,34810.0,-0.0013789141051422005,balanced
chn-haikou,13229.0,13230.0,26459.0,3.779432329264145e-05,balanced,7543.0,7549.0,15092.0,0.00039756162205141797,balanced
jpn-yokkaichi,13239.0,13219.0,26458.0,-0.0007559150351500491,balanced,13938.0,13926.0,27864.0,-0.0004306632213608958,balanced
jpn-ube,12947.0,12941.0,25888.0,-0.00023176761433868975,balanced,13879.0,13856.0,27735.0,-0.0008292770867135388,balanced
nld-rotterdammaasvlakte,12455.0,12464.0,24919.0,0.0003611701914202014,balanced,12941.0,12908.0,25849.0,-0.0012766451313397037,balanced
chn-dalian,12307.0,12282.0,24589.0,-0.001016714791166782,balanced,10067.0,10076.0,20143.0,0.00044680534180608646,balanced
