2015 comm,2015 hub,2015 size,→ 2025 comm,2025 hub,2025 size,Jaccard,Status
25,aus-portmacquarie,2,31,aus-portmacquarie,2,1.0,stable
13,can-thorold,155,15,can-thorold,146,0.7602,stable
10,prt-praiadavitoria,8,1,prt-praiadavitoria,9,0.7,stable
14,grl-nuuk,14,22,grl-nuuk,19,0.65,stable
15,nld-rotterdammaasv,1990,20,nld-rotterdammaasv,1735,0.6015,stable
8,mys-pengerang,715,3,mys-telokramunia,760,0.598,stable
7,tur-istanbul,970,23,tur-istanbul,1146,0.5559,stable
6,bra-santos,311,8,bra-santos,255,0.5297,stable
9,pan-manzanillo,765,28,pan-manzanillo,753,0.5104,stable
4,aus-geelong,192,11,aus-geelong,228,0.4533,stable
2,jpn-yokohama,615,6,jpn-kobe,304,0.4472,stable
0,chn-shanghai,689,5,chn-shanghai,442,0.4389,stable
12,svk-gabcikovo,148,19,aut-feldkirchenand,267,0.3926,stable
3,chn-haikou,406,4,chn-guangzhou,244,0.3655,stable
11,rus-astrakhan,60,0,rus-astrakhan,244,0.2063,dissolved/split
18,rus-bykovsky,6,0,rus-astrakhan,244,0.0246,dissolved/split
19,chn-chn-376,8,12,chn-tongling,468,0.0106,dissolved/split
20,rus-podtyosovo,2,0,rus-astrakhan,244,0.0082,dissolved/split
1,ind-ind-na,4,3,mys-telokramunia,760,0.0053,dissolved/split
24,fji-fji-29,2,11,aus-geelong,228,0.0044,dissolved/split
26,aus-cowancreek,4,11,aus-geelong,228,0.0043,dissolved/split
5,irl-rosslare,6,20,nld-rotterdammaasv,1735,0.0035,dissolved/split
17,fin-mariehamn,10,20,nld-rotterdammaasv,1735,0.0035,dissolved/split
23,chn-chn-180,2,5,chn-shanghai,442,0.0023,dissolved/split
16,ven-ven-3,3,28,pan-manzanillo,753,0.0013,dissolved/split
27,ven-ciudadojeda,6,28,pan-manzanillo,753,0.0013,dissolved/split
22,egy-egy-46,2,0,rus-astrakhan,244,0.0,dissolved/split
21,aus-ulladulla,2,0,rus-astrakhan,244,0.0,dissolved/split
