Comm ID,Size (nodes),Int. edges,Int. density,Mean degree,Clustering C,Total strength,Int. traffic %,Top port (hub)
15,1990,35364,0.01787,35.54,0.4919,553326,46.7,nld-rotterdammaasv
7,970,17507,0.03725,36.1,0.5183,466467,45.5,tur-istanbul
9,765,7375,0.02524,19.28,0.5177,213625,44.0,pan-manzanillo
8,715,9226,0.03614,25.81,0.5942,392431,40.0,mys-pengerang
0,689,10539,0.04447,30.59,0.6745,785511,40.9,chn-shanghai
2,615,12361,0.06547,40.2,0.6254,592551,43.0,jpn-yokohama
3,406,3951,0.04806,19.46,0.6073,365222,34.3,chn-haikou
6,311,2888,0.05991,18.57,0.5657,113791,38.5,bra-santos
4,192,1187,0.06474,12.36,0.5333,49783,37.8,aus-geelong
13,155,1016,0.08513,13.11,0.572,33446,45.2,can-thorold
12,148,460,0.04229,6.22,0.4194,3034,46.9,svk-gabcikovo
11,60,308,0.17401,10.27,0.6354,9161,46.7,rus-astrakhan
14,14,41,0.45055,5.86,0.7883,742,43.7,grl-nuuk
17,10,13,0.28889,2.6,0.3433,1508,47.6,fin-mariehamn
10,8,15,0.53571,3.75,0.7018,774,47.3,prt-praiadavitoria
19,8,15,0.53571,3.75,0.775,136,39.0,chn-chn-376
27,6,12,0.8,4.0,0.9,87,48.3,ven-ciudadojeda
5,6,8,0.53333,2.67,0.5833,1335,43.1,irl-rosslare
18,6,10,0.66667,3.33,0.5278,65,44.6,rus-bykovsky
1,4,6,1.0,3.0,1.0,301,44.9,ind-ind-na
26,4,3,0.5,1.5,0.0,6,50.0,aus-cowancreek
16,3,3,1.0,2.0,1.0,190,47.9,ven-ven-3
