Metric,2015,2025,Paper 2007
DETECTION,,,
Algorithm,Louvain,Louvain,Leicht-Newman modularity
Communities c,28,34,12 / 7 / 6 (per type)
Modularity Q,0.6987,0.7196,0.605 / 0.592 / 0.716
COMMUNITY STRUCTURE,,,
Largest community (nodes),1990,1735,—
Smallest community (nodes),2,2,—
Mean community size,253.5,227.0,—
Intra-edge ratio,70.2%,67.6%,—
Intra-traffic ratio,84.2%,83.4%,—
Mean internal density,0.4647,0.3605,—
QUALITY METRICS,,,
Coverage,0.7020,0.6760,—
Performance,0.8595,0.8937,—
Mean conductance φ,0.0959,0.0942,—
EVOLUTION (2015→2025),,,
Stable communities (J≥0.25),14,—,—
Dissolved/split communities,14,—,—
